year,team_id,league,city,nickname
1956,BRO,N,Brooklyn,Dodgers
1956,CHN,N,Chicago,Cubs
1956,CIN,N,Cincinnati,Reds
1956,MLN,N,Milwaukee,Braves
1956,NY1,N,New York,Giants
1956,PHI,N,Philadelphia,Phillies
1956,PIT,N,Pittsburgh,Pirates
1956,SLN,N,St.Louis,Cardinals
1957,BAL,A,Baltimore,Orioles
1957,BOS,A,Boston,Red Sox
1957,CHA,A,Chicago,White Sox
1957,CLE,A,Cleveland,Indians
1957,DET,A,Detroit,Tigers
1957,KC1,A,Kansas City,Athletics
1957,NYA,A,New York,Yankees
1957,WS1,A,Washington,Senators
1957,BRO,N,Brooklyn,Dodgers
1957,CHN,N,Chicago,Cubs
1957,CIN,N,Cincinnati,Reds
1957,MLN,N,Milwaukee,Braves
1957,NY1,N,New York,Giants
1957,PHI,N,Philadelphia,Phillies
1957,PIT,N,Pittsburgh,Pirates
1957,SLN,N,St.Louis,Cardinals
1958,BAL,A,Baltimore,Orioles
1958,BOS,A,Boston,Red Sox
1958,CHA,A,Chicago,White Sox
1958,CLE,A,Cleveland,Indians
1958,DET,A,Detroit,Tigers
1958,KC1,A,Kansas City,Athletics
1958,NYA,A,New York,Yankees
1958,WS1,A,Washington,Senators
1958,CHN,N,Chicago,Cubs
1958,CIN,N,Cincinnati,Reds
1958,LAN,N,Los Angeles,Dodgers
1958,MLN,N,Milwaukee,Braves
1958,PHI,N,Philadelphia,Phillies
1958,PIT,N,Pittsburgh,Pirates
1958,SLN,N,St.Louis,Cardinals
1958,SFN,N,San Francisco,Giants
1959,BAL,A,Baltimore,Orioles
1959,BOS,A,Boston,Red Sox
1959,CHA,A,Chicago,White Sox
1959,CLE,A,Cleveland,Indians
1959,DET,A,Detroit,Tigers
1959,KC1,A,Kansas City,Athletics
1959,NYA,A,New York,Yankees
1959,WS1,A,Washington,Senators
1959,CHN,N,Chicago,Cubs
1959,CIN,N,Cincinnati,Reds
1959,LAN,N,Los Angeles,Dodgers
1959,MLN,N,Milwaukee,Braves
1959,PHI,N,Philadelphia,Phillies
1959,PIT,N,Pittsburgh,Pirates
1959,SLN,N,St.Louis,Cardinals
1959,SFN,N,San Francisco,Giants
1960,BAL,A,Baltimore,Orioles
1960,BOS,A,Boston,Red Sox
1960,CHA,A,Chicago,White Sox
1960,CLE,A,Cleveland,Indians
1960,DET,A,Detroit,Tigers
1960,KC1,A,Kansas City,Athletics
1960,NYA,A,New York,Yankees
1960,WS1,A,Washington,Senators
1960,CHN,N,Chicago,Cubs
1960,CIN,N,Cincinnati,Reds
1960,LAN,N,Los Angeles,Dodgers
1960,MLN,N,Milwaukee,Braves
1960,PHI,N,Philadelphia,Phillies
1960,PIT,N,Pittsburgh,Pirates
1960,SLN,N,St.Louis,Cardinals
1960,SFN,N,San Francisco,Giants
1961,BAL,A,Baltimore,Orioles
1961,BOS,A,Boston,Red Sox
1961,CHA,A,Chicago,White Sox
1961,CLE,A,Cleveland,Indians
1961,DET,A,Detroit,Tigers
